Positions with uncertain values [prob_0, prob_1]:
(0,2): [0.74, 0.26]
(0,5): [0.22, 0.78]
(0,8): [0.59, 0.41]
(0,12): [0.22, 0.78]
(0,18): [0.29, 0.71]
(1,1): [0.23, 0.77]
(1,3): [0.10, 0.90]
(1,4): [0.64, 0.36]
(1,10): [0.38, 0.62]
(1,14): [0.27, 0.73]
(1,17): [0.50, 0.50]
(1,19): [0.14, 0.86]
(2,6): [0.16, 0.84]
(2,13): [0.43, 0.57]
(2,19): [0.76, 0.24]
(3,4): [0.24, 0.76]
(3,6): [0.49, 0.51]
(3,7): [0.76, 0.24]
(3,10): [0.87, 0.13]
(3,16): [0.22, 0.78]
(3,17): [0.59, 0.41]
(3,18): [0.22, 0.78]
(3,19): [0.63, 0.37]
(4,5): [0.47, 0.53]
(4,7): [0.43, 0.57]
(4,11): [0.73, 0.27]
(4,13): [0.19, 0.81]
(4,15): [0.46, 0.54]
(5,1): [0.49, 0.51]
(5,2): [0.40, 0.60]
(5,3): [0.38, 0.62]
(5,6): [0.70, 0.30]
(5,8): [0.30, 0.70]
(5,11): [0.48, 0.52]
(5,13): [0.51, 0.49]
(6,2): [0.40, 0.60]
(6,5): [0.62, 0.38]
(6,7): [0.21, 0.79]
(6,16): [0.89, 0.11]
(6,18): [0.60, 0.40]
(7,3): [0.42, 0.58]
(7,6): [0.44, 0.56]
(7,13): [0.90, 0.10]
(8,5): [0.79, 0.21]
(8,6): [0.87, 0.13]
(8,9): [0.82, 0.18]
(8,11): [0.19, 0.81]
(8,12): [0.86, 0.14]
(8,19): [0.11, 0.89]
(9,3): [0.71, 0.29]
(9,11): [0.70, 0.30]
(9,17): [0.21, 0.79]
(10,5): [0.31, 0.69]
(10,7): [0.24, 0.76]
(10,12): [0.69, 0.31]
(11,9): [0.34, 0.66]
(11,11): [0.23, 0.77]
(11,13): [0.41, 0.59]
(11,15): [0.83, 0.17]
(11,19): [0.39, 0.61]
(12,8): [0.43, 0.57]
(12,10): [0.38, 0.62]
(12,11): [0.33, 0.67]
(13,1): [0.13, 0.87]
(13,11): [0.69, 0.31]
(13,16): [0.43, 0.57]
(13,18): [0.42, 0.58]
(14,2): [0.52, 0.48]
(14,5): [0.25, 0.75]
(14,9): [0.49, 0.51]
(14,10): [0.49, 0.51]
(14,12): [0.88, 0.12]
(14,15): [0.72, 0.28]
(14,19): [0.22, 0.78]
(15,5): [0.25, 0.75]
(15,6): [0.19, 0.81]
(15,7): [0.54, 0.46]
(15,9): [0.74, 0.26]
(15,10): [0.59, 0.41]
(15,13): [0.36, 0.64]
(15,14): [0.71, 0.29]
(15,16): [0.29, 0.71]
(15,19): [0.48, 0.52]
(16,1): [0.86, 0.14]
(16,4): [0.81, 0.19]
(16,11): [0.59, 0.41]
(16,17): [0.55, 0.45]
(16,18): [0.41, 0.59]
(17,0): [0.23, 0.77]
(17,2): [0.23, 0.77]
(17,3): [0.79, 0.21]
(17,8): [0.79, 0.21]
(18,5): [0.33, 0.67]
(18,7): [0.69, 0.31]
(18,11): [0.12, 0.88]
(18,17): [0.55, 0.45]
(19,15): [0.79, 0.21]
