MONTHLY CASH FLOW PROJECTIONS
Month,Investment,Savings,Net Benefit,Cumulative Benefit
Month 1,"$12,000","$71,822","$85,000","$85,000"
Month 2,"$12,000","$71,822","$85,000","$170,000"
Month 3,"$12,000","$71,822","$85,000","$255,000"
Month 4,"$12,000","$71,822","$85,000","$340,000"
Month 5,"$12,000","$71,822","$85,000","$425,000"
Month 6,"$12,000","$71,822","$85,000","$510,000"
Month 7,"$12,000","$71,822","$85,000","$595,000"
Month 8,"$12,000","$71,822","$85,000","$680,000"
Month 9,"$12,000","$71,822","$85,000","$765,000"
Month 10,"$12,000","$71,822","$85,000","$850,000"
Month 11,"$12,000","$71,822","$85,000","$935,000"
Month 12,"$12,000","$71,822","$85,000","$1,020,000"
